instrument_name,type,expiry_date,strike,T_years,S0,market_price_btc,market_price_usd,mark_iv,bid_btc,ask_btc,spread_pct,open_interest
BTC-27FEB26-86000-C,call,27FEB26,86000.0,0.23091,93463.315,0.13280905,12412.77407500075,47.47,0.1315,0.134,0.0188,9.7
BTC-27FEB26-86000-P,put,27FEB26,86000.0,0.23091,93463.33,0.05295617,4949.4599922461,47.47,0.0525,0.0535,0.0189,38.8
BTC-27FEB26-88000-C,call,27FEB26,88000.0,0.23091,93463.33,0.11921514,11142.2439708162,46.79,0.118,0.12,0.0168,175.7
BTC-27FEB26-88000-P,put,27FEB26,88000.0,0.23091,93463.33,0.06076103,5678.9281980299,46.79,0.0605,0.0615,0.0165,124.2
BTC-27FEB26-90000-C,call,27FEB26,90000.0,0.23091,93463.33,0.10658811,9962.0796990063,46.24,0.1055,0.1075,0.0188,418.5
BTC-27FEB26-90000-P,put,27FEB26,90000.0,0.23091,93463.33,0.06953277,6498.764228324099,46.24,0.069,0.07,0.0144,393.2
BTC-27FEB26-92000-C,call,27FEB26,92000.0,0.23091,93463.33,0.09474056,8854.7682236648,45.67,0.094,0.0955,0.0158,294.7
BTC-27FEB26-92000-P,put,27FEB26,92000.0,0.23091,93463.315,0.07908399,7391.451868826851,45.67,0.0785,0.08,0.019,136.8
BTC-27FEB26-94000-C,call,27FEB26,94000.0,0.23091,93463.33,0.08397345,7848.4382685885,45.24,0.0835,0.0845,0.0119,243.5
BTC-27FEB26-94000-P,put,27FEB26,94000.0,0.23091,93463.33,0.08971565,8385.1234021145,45.24,0.089,0.0905,0.0167,70.0
BTC-27FEB26-95000-C,call,27FEB26,95000.0,0.23091,93463.33,0.07882525,7367.2703530825,45.0,0.0785,0.0795,0.0127,120.6
BTC-27FEB26-95000-P,put,27FEB26,95000.0,0.23091,93463.33,0.09526684,8903.9561049772,45.0,0.095,0.096,0.0105,0.9
BTC-27FEB26-96000-C,call,27FEB26,96000.0,0.23091,93463.33,0.07406372,6922.2419033876,44.84,0.0735,0.0745,0.0135,138.9
BTC-27FEB26-96000-P,put,27FEB26,96000.0,0.23091,93463.33,0.10120469,9458.9273390177,44.84,0.1005,0.102,0.0148,10.7
BTC-27FEB26-98000-C,call,27FEB26,98000.0,0.23091,93463.33,0.06500256,6075.3557161248,44.47,0.0645,0.0655,0.0154,85.2
BTC-27FEB26-98000-P,put,27FEB26,98000.0,0.23091,93463.33,0.1135423,10612.041453859,44.47,0.1125,0.1145,0.0176,7.6
BTC-27FEB26-100000-C,call,27FEB26,100000.0,0.23091,93465.315,0.05688368,5316.6510695592,44.17,0.0565,0.0575,0.0176,748.7
BTC-27FEB26-100000-P,put,27FEB26,100000.0,0.23091,93463.33,0.12682219,11853.2241952927,44.17,0.126,0.1275,0.0118,0.1
BTC-27FEB26-102000-C,call,27FEB26,102000.0,0.23091,93463.33,0.05004207,4677.0985022931,44.16,0.049,0.05,0.02,226.7
BTC-27FEB26-102000-P,put,27FEB26,102000.0,0.23091,93463.33,0.14137935,13213.784844235499,44.16,0.1395,0.144,0.0318,2.2
BTC-27FEB26-104000-C,call,27FEB26,104000.0,0.23091,93463.33,0.04381838,4095.4117100054,44.1,0.043,0.0435,0.0114,5.4
BTC-27FEB26-104000-P,put,27FEB26,104000.0,0.23091,93463.33,0.15655443,14632.0983540519,44.1,0.1545,0.158,0.0224,0.1
