instrument_name,type,expiry_date,strike,T_years,S0,market_price_btc,market_price_usd,mark_iv,bid_btc,ask_btc,open_interest
BTC-19DEC25-89000-P,put,19DEC25,89000.0,0.03913,92653.12,0.02174918,2015.1293844416,49.5,0.0215,0.022,114.9
BTC-19DEC25-90000-C,call,19DEC25,90000.0,0.03913,92653.12,0.05387119,4991.333831612799,48.67,0.0535,0.0545,441.9
BTC-19DEC25-90000-P,put,19DEC25,90000.0,0.03913,92653.12,0.02523621,2338.2135934751996,48.67,0.025,0.0255,192.7
BTC-19DEC25-91000-C,call,19DEC25,91000.0,0.03913,92653.12,0.04711284,4365.1516180608005,47.99,0.0465,0.0475,204.9
BTC-19DEC25-91000-P,put,19DEC25,91000.0,0.03913,92653.12,0.02927081,2712.0318714272,47.99,0.029,0.0295,53.6
BTC-19DEC25-92000-C,call,19DEC25,92000.0,0.03913,92653.12,0.04086774,3786.5236183487996,47.37,0.0405,0.0415,326.0
BTC-19DEC25-92000-P,put,19DEC25,92000.0,0.03913,92653.12,0.03381865,3133.4034366879996,47.37,0.0335,0.034,201.3
BTC-19DEC25-93000-C,call,19DEC25,93000.0,0.03913,92653.12,0.0352574,3266.708113088,46.94,0.0345,0.0355,216.4
BTC-19DEC25-93000-P,put,19DEC25,93000.0,0.03913,92653.12,0.03900126,3613.5884229312,46.94,0.0385,0.0395,57.0
BTC-19DEC25-94000-C,call,19DEC25,94000.0,0.03913,92653.12,0.03001321,2780.8175477152,46.34,0.0295,0.0305,405.7
BTC-19DEC25-94000-P,put,19DEC25,94000.0,0.03913,92653.12,0.04455002,4127.6983490624,46.34,0.044,0.045,32.9
BTC-19DEC25-95000-C,call,19DEC25,95000.0,0.03913,92653.12,0.02543475,2356.60894392,45.96,0.025,0.026,771.8
BTC-19DEC25-95000-P,put,19DEC25,95000.0,0.03913,92653.12,0.05076449,4703.4883837088,45.96,0.05,0.051,8.1
BTC-19DEC25-96000-C,call,19DEC25,96000.0,0.03913,92653.12,0.02161457,2002.6573479584,45.94,0.021,0.0215,420.2
BTC-19DEC25-96000-P,put,19DEC25,96000.0,0.03913,92653.12,0.05773726,5349.5372792512,45.94,0.0565,0.058,3.7
BTC-19DEC25-97000-C,call,19DEC25,97000.0,0.03913,92653.12,0.01804832,1672.2331587584,45.65,0.0175,0.018,19.8
BTC-19DEC25-97000-P,put,19DEC25,97000.0,0.03913,92653.12,0.06496395,6019.112655024001,45.65,0.0635,0.0655,0.4
BTC-19DEC25-98000-C,call,19DEC25,98000.0,0.03913,92653.12,0.01496793,1386.8254144416,45.42,0.014,0.015,617.9
BTC-19DEC25-98000-P,put,19DEC25,98000.0,0.03913,92653.12,0.07267651,6733.7054022112,45.42,0.0715,0.0735,39.3
BTC-19DEC25-99000-C,call,19DEC25,99000.0,0.03913,92653.12,0.01246492,1154.9137285504,45.46,0.0115,0.0125,277.1
BTC-19DEC25-99000-P,put,19DEC25,99000.0,0.03913,92653.12,0.08096644,7501.793281292799,45.46,,,2.6
BTC-19DEC25-100000-C,call,19DEC25,100000.0,0.03913,92653.12,0.0104569,968.8644105279999,45.74,0.0095,0.0105,252.1
BTC-19DEC25-100000-P,put,19DEC25,100000.0,0.03913,92653.12,0.08975137,8315.7444547744,45.74,,0.139,0.2
BTC-19DEC25-105000-C,call,19DEC25,105000.0,0.03913,92653.12,0.00374449,346.93868130879997,45.98,0.0035,0.0037,1318.9
BTC-19DEC25-105000-P,put,19DEC25,105000.0,0.03913,92653.12,0.13700368,12693.818403481599,45.98,,,0.5
BTC-19DEC25-115000-C,call,19DEC25,115000.0,0.03913,92653.12,0.00079956,74.08172862720001,52.6,0.0007,0.0009,879.1
BTC-19DEC25-115000-P,put,19DEC25,115000.0,0.03913,92653.12,0.2419882,22420.961733183998,52.6,,,0.4
BTC-26DEC25-20000-C,call,26DEC25,20000.0,0.05831,92726.41,0.78431611,72726.8171854651,170.17,0.784,0.785,36.9
BTC-26DEC25-20000-P,put,26DEC25,20000.0,0.05831,92726.47,4.23e-06,0.3922329681,170.17,,0.0001,525.8
